timestamp,label,score,layers,syn_count,rst_count,pkt_count,byte_count,pkt_rate,layer_coverage,connect_rate,cookie
10:18:11.158,benign,0.000,XT..,0,0,1,66,0.00,2,0,2
10:18:11.268,benign,0.000,XT..,0,0,3,198,40.07,2,0,2
10:18:11.373,benign,0.000,XT..,0,0,5,330,31.77,2,0,2
10:18:11.609,benign,0.000,XT..,0,0,7,462,16.91,2,0,2
10:18:11.760,benign,0.000,XT..,0,0,9,594,15.69,2,0,2
10:18:11.871,benign,0.000,XT..,0,0,11,726,17.22,2,0,2
10:18:12.060,benign,0.000,XT..,0,0,13,858,15.18,2,0,2
10:18:12.256,benign,0.000,XT..,0,0,15,990,15.23,2,0,2
10:18:12.351,benign,0.000,XT..,0,0,17,1122,14.65,2,0,2
10:18:12.465,benign,0.000,XT..,0,0,19,1254,15.40,2,0,2
10:18:12.630,benign,0.000,XT..,0,0,21,1386,14.60,2,0,2
10:18:12.766,benign,0.000,XT..,0,0,23,1518,14.86,2,0,2
10:18:13.009,benign,0.000,XT..,0,0,25,1650,14.73,2,0,2
10:18:13.176,benign,0.000,XT..,0,0,27,1782,14.08,2,0,2
10:18:13.228,benign,0.000,XT..,0,0,29,1914,13.96,2,0,2
10:18:13.408,benign,0.000,XT..,0,0,31,2046,14.49,2,0,2
10:18:13.592,benign,0.000,XT..,0,0,33,2178,13.79,2,0,2
10:18:13.695,benign,0.000,XT..,0,0,1,66,0.00,2,0,1
10:18:13.711,benign,0.000,XT..,0,0,2,132,346140.53,2,0,4097
10:18:13.772,benign,0.000,XT..,0,0,35,2310,14.17,2,0,2
10:18:13.892,benign,0.000,XT..,0,0,37,2442,13.96,2,0,2
10:18:14.138,benign,0.000,XT..,0,0,39,2574,13.52,2,0,2
10:18:14.211,benign,0.000,XT..,0,0,41,2706,13.49,2,0,2
10:18:14.485,benign,0.000,XT..,0,0,43,2838,13.84,2,0,2
10:18:14.764,benign,0.000,XT..,0,0,45,2970,12.98,2,0,2
10:18:14.821,benign,0.000,XT..,0,0,47,3102,12.91,2,0,2
10:18:15.007,benign,0.000,XT..,0,0,49,3234,13.24,2,0,2
10:18:15.140,benign,0.000,XT..,0,0,51,3366,12.96,2,0,2
10:18:15.221,benign,0.000,XT..,0,0,7,462,4.63,2,0,4097
10:18:15.352,benign,0.000,XT..,0,0,53,3498,13.06,2,0,2
10:18:15.468,benign,0.000,XT..,0,0,55,3630,12.81,2,0,2
10:18:15.695,benign,0.000,XT..,0,0,57,3762,12.81,2,0,2
10:18:15.962,benign,0.000,XT..,0,0,59,3894,12.77,2,0,2
10:18:16.037,benign,0.000,XT..,0,0,61,4026,12.50,2,0,2
10:18:16.102,benign,0.000,XT..,0,0,63,4158,12.77,2,0,2
10:18:16.241,benign,0.000,XT..,0,0,65,4290,12.87,2,0,2
10:18:16.426,benign,0.000,XT..,0,0,67,4422,12.96,2,0,2
10:18:16.639,benign,0.000,XT..,0,0,69,4554,12.66,2,0,2
10:18:16.763,benign,0.000,XT..,0,0,71,4686,12.87,2,0,2
10:18:16.884,benign,0.000,XT..,0,0,73,4818,12.95,2,0,2
10:18:17.062,benign,0.000,XT..,0,0,75,4950,12.76,2,0,2
10:18:17.237,benign,0.000,XT..,0,0,77,5082,12.85,2,0,2
10:18:17.365,benign,0.000,XT..,0,0,79,5214,12.91,2,0,2
10:18:17.580,benign,0.000,XT..,0,0,81,5346,12.70,2,0,2
10:18:17.703,benign,0.000,XT..,0,0,3,198,0.75,2,0,1
10:18:17.764,benign,0.000,XT..,0,0,83,5478,12.78,2,0,2
10:18:17.832,benign,0.000,XT..,0,0,85,5610,12.81,2,0,2
10:18:18.022,benign,0.000,XT..,0,0,87,5742,12.93,2,0,2
10:18:18.045,benign,0.000,XT..,0,0,2,132,1372.11,2,0,4787
10:18:18.129,benign,2.981,XT..,0,0,89,5874,12.85,2,0,2
10:18:18.241,benign,1.692,XT..,0,0,9,594,1.99,2,0,4097
10:18:18.250,benign,2.993,XT..,0,0,91,6006,12.90,2,0,2
10:18:18.467,benign,2.985,XT..,0,0,93,6138,12.97,2,0,2
10:18:18.579,benign,2.991,XT..,0,0,95,6270,12.94,2,0,2
10:18:18.759,benign,2.990,XT..,0,0,97,6402,12.94,2,0,2
10:18:18.952,benign,3.000,XT..,0,0,99,6534,12.87,2,0,2
10:18:19.060,benign,2.999,XT..,0,0,101,6666,12.88,2,0,2
10:18:19.167,benign,2.989,XT..,0,0,103,6798,12.95,2,0,2
10:18:19.302,benign,2.987,XT..,0,0,105,6930,12.97,2,0,2
10:18:19.662,benign,3.019,XT..,0,0,107,7062,12.74,2,0,2
10:18:19.707,benign,1.999,XT..,0,0,5,330,0.83,2,0,1
10:18:19.772,benign,3.029,XT..,0,0,109,7194,12.72,2,0,2
10:18:19.907,benign,3.012,XT..,0,0,111,7326,12.83,2,0,2
10:18:20.018,benign,3.011,XT..,0,0,113,7458,12.84,2,0,2
10:18:20.324,benign,3.042,XT..,0,0,115,7590,12.62,2,0,2
10:18:20.478,benign,3.029,XT..,0,0,117,7722,12.69,2,0,2
10:18:20.650,benign,3.042,XT..,0,0,119,7854,12.60,2,0,2
10:18:20.763,benign,3.034,XT..,0,0,121,7986,12.64,2,0,2
10:18:20.934,benign,3.038,XT..,0,0,123,8118,12.60,2,0,2
10:18:21.013,benign,3.017,XT..,0,0,125,8250,12.74,2,0,2
10:18:21.235,benign,3.020,XT..,0,0,127,8382,12.71,2,0,2
10:18:21.259,benign,1.902,XT..,0,0,11,726,1.46,2,0,4097
10:18:21.464,benign,3.039,XT..,0,0,129,8514,12.62,2,0,2
10:18:21.580,benign,3.043,XT..,0,0,131,8646,12.59,2,0,2
