timestamp,label,score,layers,syn_count,rst_count,pkt_count,byte_count,pkt_rate,layer_coverage,connect_rate,cookie
10:49:19.060,stream,0.000,.T..,0,0,0,0,0.00,1,0,2
10:49:19.101,stream,0.000,XT..,0,0,1,66,0.00,2,0,2
10:49:19.161,stream,0.000,XT..,0,0,2,132,33.60,2,0,2
10:49:19.261,stream,0.000,XT..,0,0,3,198,27.29,2,0,2
10:49:19.321,stream,0.000,XT..,0,0,4,264,18.84,2,0,2
10:49:19.321,stream,0.000,.T..,0,0,0,0,0.00,1,0,1
10:49:19.441,stream,0.000,XT..,0,0,5,330,17.84,2,0,2
10:49:19.560,stream,0.000,XT..,0,0,6,396,15.22,2,0,2
10:49:19.660,stream,0.000,XT..,0,0,7,462,13.73,2,0,2
10:49:19.701,stream,0.000,XT..,0,0,8,528,13.14,2,0,2
10:49:19.801,stream,0.000,XT..,0,0,9,594,13.55,2,0,2
10:49:19.921,stream,0.000,XT..,0,0,10,660,13.10,2,0,2
10:49:19.941,stream,0.000,XT..,0,0,4,264,11971.68,2,0,4097
10:49:20.021,stream,0.000,XT..,0,0,11,726,12.68,2,0,2
10:49:20.041,stream,0.000,XT..,0,0,12,792,12.27,2,0,2
10:49:20.080,stream,0.000,XT..,0,0,13,858,13.10,2,0,2
10:49:20.141,stream,0.000,XT..,0,0,14,924,13.48,2,0,2
10:49:20.201,stream,0.000,XT..,0,0,15,990,13.72,2,0,2
10:49:20.261,stream,0.000,XT..,0,0,16,1056,13.82,2,0,2
10:49:20.361,stream,0.000,XT..,0,0,17,1122,14.04,2,0,2
10:49:20.441,stream,0.000,XT..,0,0,18,1188,13.56,2,0,2
10:49:20.501,stream,0.000,XT..,0,0,19,1254,13.65,2,0,2
10:49:20.621,stream,0.000,XT..,0,0,20,1320,13.72,2,0,2
10:49:20.641,stream,0.000,XT..,0,0,21,1386,13.38,2,0,2
10:49:20.721,stream,0.000,XT..,0,0,22,1452,13.74,2,0,2
10:49:20.854,stream,0.000,XT..,0,0,24,1584,13.27,2,0,2
10:49:21.001,stream,0.000,XT..,0,0,25,1650,13.73,2,0,2
10:49:21.061,stream,0.000,XT..,0,0,26,1716,13.23,2,0,2
10:49:21.100,stream,0.000,XT..,0,0,27,1782,13.40,2,0,2
10:49:21.221,stream,0.000,XT..,0,0,28,1848,13.58,2,0,2
10:49:21.261,stream,0.000,XT..,0,0,29,1914,13.32,2,0,2
10:49:21.281,stream,0.000,XT..,0,0,30,1980,13.57,2,0,2
10:49:21.321,stream,0.000,XT..,0,0,2,132,1.00,2,0,1
10:49:21.441,stream,0.000,XT..,0,0,5,330,9587.36,2,0,4097
