timestamp,label,score,layers,syn_count,rst_count,pkt_count,byte_count,pkt_rate,layer_coverage,connect_rate,cookie
10:14:41.649,warmup,0.000,XT..,0,0,4,264,80.33,2,0,2
10:14:41.860,warmup,0.000,XT..,0,0,6,396,28.72,2,0,2
10:14:42.020,warmup,0.000,XT..,0,0,9,594,20.03,2,0,2
10:14:42.232,warmup,0.000,XT..,0,0,11,726,20.49,2,0,2
10:14:42.344,warmup,0.000,XT..,0,0,13,858,17.27,2,0,2
10:14:42.503,warmup,0.000,XT..,0,0,15,990,16.47,2,0,2
10:14:42.594,warmup,0.000,XT..,0,0,17,1122,16.80,2,0,2
10:14:42.830,warmup,0.000,XT..,0,0,19,1254,17.73,2,0,2
10:14:42.952,warmup,0.000,XT..,0,0,21,1386,15.11,2,0,2
10:14:43.150,warmup,0.000,XT..,0,0,23,1518,15.25,2,0,2
10:14:43.320,warmup,0.000,XT..,0,0,25,1650,15.01,2,0,2
10:14:43.583,warmup,0.000,XT..,0,0,27,1782,13.58,2,0,2
10:14:43.797,warmup,0.000,XT..,0,0,5,330,13758.87,2,0,4097
10:14:43.802,warmup,0.000,XT..,0,0,29,1914,13.82,2,0,2
10:14:43.901,warmup,0.000,XT..,0,0,31,2046,13.61,2,0,2
10:14:44.007,warmup,0.000,XT..,0,0,33,2178,13.92,2,0,2
10:14:44.278,warmup,0.000,XT..,0,0,35,2310,13.91,2,0,2
10:14:44.447,warmup,0.000,XT..,0,0,37,2442,13.04,2,0,2
10:14:44.518,warmup,0.000,XT..,0,0,39,2574,13.33,2,0,2
10:14:44.730,warmup,0.000,XT..,0,0,41,2706,13.32,2,0,2
10:14:44.996,warmup,0.000,XT..,0,0,43,2838,12.90,2,0,2
10:14:45.064,warmup,0.000,XT..,0,0,45,2970,12.85,2,0,2
10:14:45.214,warmup,0.000,XT..,0,0,47,3102,13.18,2,0,2
10:14:45.310,warmup,0.000,XT..,0,0,2,132,13672.78,2,0,1
10:14:45.445,warmup,0.000,XT..,0,0,49,3234,12.97,2,0,2
10:14:45.560,warmup,0.000,XT..,0,0,51,3366,13.00,2,0,2
10:14:45.821,warmup,0.000,XT..,0,0,53,3498,12.84,2,0,2
10:14:45.926,warmup,0.000,XT..,0,0,55,3630,12.81,2,0,2
10:14:46.192,warmup,0.000,XT..,0,0,57,3762,12.69,2,0,2
10:14:46.269,warmup,0.000,XT..,0,0,59,3894,12.53,2,0,2
10:14:46.447,warmup,0.000,XT..,0,0,61,4026,12.48,2,0,2
10:14:46.599,warmup,0.000,XT..,0,0,63,4158,12.60,2,0,2
10:14:46.750,warmup,0.000,XT..,0,0,65,4290,12.73,2,0,2
10:14:46.820,warmup,0.000,XT..,0,0,7,462,2.32,2,0,4097
10:14:46.873,warmup,0.000,XT..,0,0,67,4422,12.74,2,0,2
10:14:47.013,warmup,0.000,XT..,0,0,69,4554,12.86,2,0,2
10:14:47.221,warmup,0.000,XT..,0,0,71,4686,12.74,2,0,2
10:14:47.383,warmup,0.000,XT..,0,0,73,4818,12.72,2,0,2
10:14:47.488,warmup,0.000,XT..,0,0,75,4950,12.71,2,0,2
10:14:47.577,warmup,0.000,XT..,0,0,77,5082,12.88,2,0,2
10:14:47.759,warmup,0.000,XT..,0,0,79,5214,12.98,2,0,2
10:14:47.917,warmup,0.000,XT..,0,0,4,264,2660.47,2,0,4787
10:14:47.931,warmup,0.000,XT..,0,0,7,462,2568.12,2,0,4787
10:14:48.000,warmup,0.000,XT..,0,0,81,5346,12.87,2,0,2
10:14:48.083,warmup,0.000,XT..,0,0,83,5478,12.75,2,0,2
10:14:48.209,warmup,0.000,XT..,0,0,85,5610,12.96,2,0,2
10:14:48.244,warmup,0.000,XT..,0,0,27,2639,82.18,2,0,4787
10:14:48.331,warmup,0.000,XT..,0,0,87,5742,12.93,2,0,2
10:14:48.334,warmup,0.000,XT..,0,0,10,660,2.21,2,0,4097
10:14:48.593,warmup,2.994,XT..,0,0,89,5874,12.91,2,0,2
10:14:48.703,warmup,3.017,XT..,0,0,91,6006,12.74,2,0,2
10:14:48.811,warmup,2.989,XT..,0,0,93,6138,12.96,2,0,2
10:14:49.012,warmup,2.998,XT..,0,0,95,6270,12.89,2,0,2
10:14:49.229,warmup,2.998,XT..,0,0,97,6402,12.89,2,0,2
10:14:49.317,warmup,1.927,XT..,0,0,5,330,1.25,2,0,1
10:14:49.388,warmup,3.032,XT..,0,0,99,6534,12.78,2,0,2
10:14:49.544,warmup,3.030,XT..,0,0,101,6666,12.79,2,0,2
10:14:49.681,warmup,3.042,XT..,0,0,103,6798,12.70,2,0,2
10:14:49.843,warmup,1.794,XT..,0,0,13,858,2.15,2,0,4097
10:14:49.892,warmup,3.040,XT..,0,0,105,6930,12.79,2,0,2
10:14:50.117,warmup,3.062,XT..,0,0,107,7062,12.63,2,0,2
10:14:50.380,warmup,3.082,XT..,0,0,109,7194,12.48,2,0,2
10:14:50.508,warmup,3.079,XT..,0,0,111,7326,12.48,2,0,2
10:14:50.642,warmup,3.078,XT..,0,0,113,7458,12.46,2,0,2
10:14:50.875,warmup,3.066,XT..,0,0,115,7590,12.53,2,0,2
10:14:51.030,warmup,3.083,XT..,0,0,117,7722,12.40,2,0,2
10:14:51.120,warmup,3.069,XT..,0,0,119,7854,12.47,2,0,2
10:14:51.353,warmup,1.879,XT..,0,0,15,990,1.98,2,0,4097
10:14:51.439,warmup,3.072,XT..,0,0,121,7986,12.47,2,0,2
10:14:51.552,warmup,3.080,XT..,0,0,123,8118,12.41,2,0,2
10:14:51.711,warmup,3.075,XT..,0,0,125,8250,12.42,2,0,2
10:14:51.818,warmup,3.067,XT..,0,0,127,8382,12.47,2,0,2
10:14:52.030,warmup,3.071,XT..,0,0,129,8514,12.43,2,0,2
10:14:52.240,warmup,3.088,XT..,0,0,131,8646,12.31,2,0,2
10:14:52.331,warmup,3.076,XT..,0,0,133,8778,12.36,2,0,2
10:14:52.449,warmup,3.064,XT..,0,0,135,8910,12.43,2,0,2
10:14:52.566,warmup,3.055,XT..,0,0,137,9042,12.48,2,0,2
10:14:52.674,warmup,3.045,XT..,0,0,139,9174,12.55,2,0,2
10:14:52.862,warmup,1.893,XT..,0,0,18,1188,1.99,2,0,4097
10:14:52.939,warmup,3.065,XT..,0,0,141,9306,12.43,2,0,2
10:14:53.047,warmup,3.057,XT..,0,0,143,9438,12.49,2,0,2
10:14:53.213,warmup,3.057,XT..,0,0,145,9570,12.48,2,0,2
10:14:53.324,warmup,2.000,XT..,0,0,7,462,0.87,2,0,1
10:14:53.363,warmup,2.290,XT..,0,0,6,745,13.49,2,0,4788
10:14:53.379,warmup,3.069,XT..,0,0,147,9702,12.53,2,0,2
10:14:53.527,warmup,3.072,XT..,0,0,149,9834,12.52,2,0,2
10:14:53.573,warmup,3.064,XT..,0,0,151,9966,12.57,2,0,2
10:14:53.738,warmup,3.052,XT..,0,0,153,10098,12.66,2,0,2
10:14:53.960,warmup,3.061,XT..,0,0,155,10230,12.59,2,0,2
10:14:54.073,warmup,3.062,XT..,0,0,157,10362,12.59,2,0,2
10:14:54.288,warmup,3.060,XT..,0,0,159,10494,12.60,2,0,2
10:14:54.371,warmup,1.877,XT..,0,0,21,1386,1.99,2,0,4097
10:14:54.448,warmup,3.066,XT..,0,0,161,10626,12.58,2,0,2
10:14:54.491,warmup,3.061,XT..,0,0,163,10758,12.61,2,0,2
10:14:54.630,warmup,3.055,XT..,0,0,165,10890,12.66,2,0,2
10:14:54.774,warmup,3.048,XT..,0,0,167,11022,12.71,2,0,2
10:14:55.010,warmup,3.044,XT..,0,0,169,11154,12.75,2,0,2
10:14:55.176,warmup,3.059,XT..,0,0,171,11286,12.64,2,0,2
10:14:55.290,warmup,3.061,XT..,0,0,173,11418,12.64,2,0,2
10:14:55.402,warmup,3.059,XT..,0,0,175,11550,12.65,2,0,2
10:14:55.461,warmup,3.049,XT..,0,0,177,11682,12.72,2,0,2
10:14:55.576,warmup,3.038,XT..,0,0,179,11814,12.80,2,0,2
10:14:55.881,warmup,1.907,XT..,0,0,24,1584,1.99,2,0,4097
10:14:55.905,warmup,3.055,XT..,0,0,181,11946,12.70,2,0,2
10:14:56.122,warmup,3.063,XT..,0,0,183,12078,12.65,2,0,2
10:14:56.287,warmup,3.071,XT..,0,0,185,12210,12.59,2,0,2
10:14:56.457,warmup,3.079,XT..,0,0,187,12342,12.54,2,0,2
10:14:56.607,warmup,3.067,XT..,0,0,189,12474,12.62,2,0,2
10:14:56.732,warmup,3.061,XT..,0,0,191,12606,12.66,2,0,2
10:14:57.010,warmup,3.068,XT..,0,0,193,12738,12.61,2,0,2
10:14:57.240,warmup,3.094,XT..,0,0,195,12870,12.44,2,0,2
10:14:57.332,warmup,2.077,XT..,0,0,10,660,0.83,2,0,1
10:14:57.455,warmup,3.092,XT..,0,0,197,13002,12.46,2,0,2
10:14:57.477,warmup,3.086,XT..,0,0,199,13134,12.50,2,0,2
10:14:57.689,warmup,3.079,XT..,0,0,201,13266,12.54,2,0,2
10:14:57.913,warmup,3.091,XT..,0,0,203,13398,12.46,2,0,2
10:14:58.083,warmup,3.093,XT..,0,0,205,13530,12.44,2,0,2
10:14:58.244,warmup,3.093,XT..,0,0,207,13662,12.43,2,0,2
10:14:58.394,warmup,2.016,XT..,0,0,27,2639,82.18,2,0,4787
10:14:58.400,warmup,1.344,XT..,0,0,31,2903,2.96,2,0,4787
10:14:58.408,warmup,3.109,XT..,0,0,209,13794,12.47,2,0,2
10:14:58.468,warmup,3.103,XT..,0,0,211,13926,12.50,2,0,2
10:14:58.600,warmup,3.093,XT..,0,0,213,14058,12.57,2,0,2
10:14:58.757,warmup,3.093,XT..,0,0,215,14190,12.57,2,0,2
10:14:58.899,warmup,1.983,XT..,0,0,28,1848,1.85,2,0,4097
10:14:58.998,warmup,3.099,XT..,0,0,217,14322,12.52,2,0,2
10:14:59.088,warmup,3.101,XT..,0,0,219,14454,12.51,2,0,2
10:14:59.221,warmup,3.095,XT..,0,0,221,14586,12.54,2,0,2
10:14:59.471,warmup,3.118,XT..,0,0,224,14784,12.55,2,0,2
10:14:59.600,warmup,3.111,XT..,0,0,226,14916,12.59,2,0,2
10:14:59.730,warmup,3.114,XT..,0,0,228,15048,12.56,2,0,2
10:15:00.050,warmup,3.112,XT..,0,0,230,15180,12.57,2,0,2
10:15:00.217,warmup,3.122,XT..,0,0,232,15312,12.50,2,0,2
10:15:00.306,warmup,3.121,XT..,0,0,234,15444,12.49,2,0,2
10:15:00.342,warmup,3.109,XT..,0,0,236,15576,12.56,2,0,2
10:15:00.407,warmup,1.990,XT..,0,0,31,2046,1.87,2,0,4097
10:15:00.487,warmup,3.106,XT..,0,0,238,15708,12.57,2,0,2
10:15:00.829,warmup,3.102,XT..,0,0,240,15840,12.60,2,0,2
10:15:00.939,warmup,3.117,XT..,0,0,242,15972,12.49,2,0,2
10:15:01.165,warmup,3.114,XT..,0,0,244,16104,12.50,2,0,2
10:15:01.277,warmup,3.113,XT..,0,0,246,16236,12.50,2,0,2
10:15:01.339,warmup,2.144,XT..,0,0,12,792,0.75,2,0,1
10:15:01.470,warmup,3.105,XT..,0,0,248,16368,12.55,2,0,2
10:15:01.596,warmup,3.111,XT..,0,0,250,16500,12.50,2,0,2
10:15:01.770,warmup,3.107,XT..,0,0,252,16632,12.53,2,0,2
10:15:01.916,warmup,2.015,XT..,0,0,33,2178,1.82,2,0,4097
10:15:02.006,warmup,3.111,XT..,0,0,254,16764,12.49,2,0,2
10:15:02.135,warmup,3.113,XT..,0,0,256,16896,12.48,2,0,2
10:15:02.279,warmup,3.116,XT..,0,0,258,17028,12.45,2,0,2
10:15:02.473,warmup,3.112,XT..,0,0,260,17160,12.47,2,0,2
10:15:02.592,warmup,3.106,XT..,0,0,262,17292,12.51,2,0,2
10:15:02.744,warmup,3.111,XT..,0,0,264,17424,12.47,2,0,2
10:15:03.046,warmup,3.120,XT..,0,0,266,17556,12.40,2,0,2
10:15:03.212,warmup,3.114,XT..,0,0,268,17688,12.44,2,0,2
10:15:03.337,warmup,3.112,XT..,0,0,270,17820,12.45,2,0,2
10:15:03.425,warmup,2.041,XT..,0,0,35,2310,1.78,2,0,4097
10:15:03.475,warmup,3.106,XT..,0,0,272,17952,12.47,2,0,2
10:15:03.581,warmup,3.104,XT..,0,0,274,18084,12.48,2,0,2
10:15:03.833,warmup,3.107,XT..,0,0,276,18216,12.45,2,0,2
10:15:03.975,warmup,3.115,XT..,0,0,278,18348,12.40,2,0,2
10:15:04.079,warmup,3.105,XT..,0,0,280,18480,12.46,2,0,2
10:15:04.193,warmup,3.106,XT..,0,0,282,18612,12.46,2,0,2
10:15:04.422,warmup,3.102,XT..,0,0,284,18744,12.48,2,0,2
10:15:04.542,warmup,3.102,XT..,0,0,286,18876,12.47,2,0,2
10:15:04.594,warmup,3.097,XT..,0,0,288,19008,12.50,2,0,2
10:15:04.654,warmup,3.085,XT..,0,0,290,19140,12.58,2,0,2
10:15:04.932,warmup,3.085,XT..,0,0,292,19272,12.58,2,0,2
10:15:04.938,warmup,2.045,XT..,0,0,37,2442,1.75,2,0,4097
10:15:05.153,warmup,3.094,XT..,0,0,294,19404,12.51,2,0,2
10:15:05.240,warmup,3.092,XT..,0,0,296,19536,12.52,2,0,2
10:15:05.347,warmup,2.188,XT..,0,0,14,924,0.70,2,0,1
10:15:05.488,warmup,3.094,XT..,0,0,298,19668,12.51,2,0,2
10:15:05.560,warmup,3.091,XT..,0,0,300,19800,12.52,2,0,2
10:15:05.783,warmup,3.088,XT..,0,0,302,19932,12.54,2,0,2
10:15:05.952,warmup,3.092,XT..,0,0,304,20064,12.51,2,0,2
10:15:06.078,warmup,3.094,XT..,0,0,306,20196,12.50,2,0,2
10:15:06.198,warmup,3.089,XT..,0,0,308,20328,12.53,2,0,2
10:15:06.354,warmup,3.087,XT..,0,0,310,20460,12.55,2,0,2
10:15:06.455,warmup,2.045,XT..,0,0,40,2640,1.77,2,0,4097
10:15:06.493,warmup,3.084,XT..,0,0,312,20592,12.56,2,0,2
10:15:06.620,warmup,3.085,XT..,0,0,314,20724,12.55,2,0,2
10:15:06.790,warmup,3.082,XT..,0,0,316,20856,12.58,2,0,2
10:15:06.989,warmup,3.093,XT..,0,0,318,20988,12.50,2,0,2
10:15:07.081,warmup,3.085,XT..,0,0,320,21120,12.56,2,0,2
10:15:07.211,warmup,3.077,XT..,0,0,322,21252,12.61,2,0,2
10:15:07.350,warmup,2.193,XT..,0,0,16,1056,0.73,2,0,1
10:15:07.368,warmup,3.098,XT..,0,0,325,21486,12.60,2,0,2
10:15:07.474,warmup,3.082,XT..,0,0,326,21552,12.59,2,0,2
10:15:07.586,warmup,3.078,XT..,0,0,328,21684,12.62,2,0,2
10:15:07.634,warmup,3.072,XT..,0,0,330,21816,12.66,2,0,2
10:15:07.965,warmup,2.048,XT..,0,0,42,2772,1.74,2,0,4097
10:15:08.033,warmup,3.071,XT..,0,0,332,21948,12.67,2,0,2
10:15:08.168,warmup,3.081,XT..,0,0,334,22080,12.60,2,0,2
10:15:08.278,warmup,3.081,XT..,0,0,336,22212,12.60,2,0,2
10:15:08.478,warmup,3.084,XT..,0,0,338,22344,12.58,2,0,2
10:15:08.604,warmup,3.080,XT..,0,0,340,22476,12.61,2,0,2
10:15:08.636,warmup,1.370,XT..,0,0,39,4288,3.64,2,0,4787
10:15:08.641,warmup,1.618,XT..,0,0,40,4354,1.93,2,0,4787
10:15:08.811,warmup,3.098,XT..,0,0,342,22608,12.58,2,0,2
10:15:08.887,warmup,1.439,XT..,0,0,53,6069,2.53,2,0,4787
10:15:08.960,warmup,3.100,XT..,0,0,344,22740,12.60,2,0,2
10:15:09.012,warmup,3.099,XT..,0,0,346,22872,12.60,2,0,2
10:15:09.196,warmup,3.094,XT..,0,0,348,23004,12.64,2,0,2
10:15:09.415,warmup,3.096,XT..,0,0,350,23136,12.63,2,0,2
10:15:09.475,warmup,2.053,XT..,0,0,44,2904,1.71,2,0,4097
10:15:09.501,warmup,3.100,XT..,0,0,352,23268,12.60,2,0,2
10:15:09.678,warmup,3.095,XT..,0,0,354,23400,12.64,2,0,2
10:15:09.909,warmup,3.103,XT..,0,0,356,23532,12.58,2,0,2
10:15:10.031,warmup,3.100,XT..,0,0,358,23664,12.60,2,0,2
10:15:10.270,warmup,3.107,XT..,0,0,360,23796,12.55,2,0,2
10:15:10.478,warmup,3.109,XT..,0,0,362,23928,12.54,2,0,2
10:15:10.616,warmup,3.108,XT..,0,0,364,24060,12.55,2,0,2
10:15:10.668,warmup,3.103,XT..,0,0,366,24192,12.58,2,0,2
10:15:10.913,warmup,3.110,XT..,0,0,368,24324,12.54,2,0,2
